seed_model,trial,wrong_trial,pred_t1,correct_t1,cos_div_t2,cos_div_t3,cos_div_mean
0,160,134,1,1,0.8492354264635962,1.2751951838474134,1.0622153051555048
0,161,127,1,1,0.497221017278065,1.0132918590986477,0.7552564381883564
0,162,16,4,1,0.4006530569231127,0.2625382996981831,0.3315956783106479
0,163,108,3,1,0.4028923321832699,0.12745785054113068,0.2651750913622003
0,164,154,2,0,0.27459402287017876,0.019585329029223386,0.14708967594970107
0,165,191,1,1,0.21119872827501696,0.12927667789542452,0.17023770308522074
0,166,198,0,1,0.15415866418091106,0.19220068693704795,0.1731796755589795
0,167,90,0,1,0.30797544681293887,0.11799399797154031,0.2129847223922396
0,168,181,3,1,0.15218751829160104,0.19027104611968182,0.17122928220564143
0,169,78,2,1,0.011315098207786978,0.02925242732633293,0.020283762767059954
0,170,121,1,1,0.27144351125016974,0.005281170206033581,0.13836234072810166
0,171,14,1,1,0.3923611146046214,0.1502311702481235,0.27129614242637246
0,172,174,0,1,0.37421153327619483,0.2486095918714285,0.31141056257381167
0,173,6,0,1,0.12080237010396389,0.08809807719143581,0.10445022364769985
0,174,135,0,1,0.15361014489087632,0.04428424322077806,0.09894719405582719
